Date,UPROSIM,LTTSIM,LTT,LTTx2,LTTx3,SPY,SPYx2,SPYx3,UPRO,TMF
1986-05-20,1,1,338.99,1,1,,,,,
1986-05-21,1.037,0.994,338.99,1,0.9997619048,,,,,
1986-05-22,1.029741,1.02382,338.99,0.9997619048,0.9995238662,,,,,
1986-05-23,1.090495719,1.01767708,338.99,0.9995238662,0.9992858843,,,,,
1986-05-27,1.105762659,1.023783142,338.99,0.9992858843,0.9990479591,,,,,
1986-05-28,1.152204691,1.037092323,338.99,0.9990479591,0.9988100906,,,,,
1986-05-29,1.178705399,0.9966457227,338.99,0.9988100906,0.9985722786,,,,,
1986-05-30,1.19638598,0.9906658484,319.57,0.8841602095,0.8267164197,,,,,
1986-06-02,1.188011278,0.9906658484,319.57,0.8267164197,0.8265195825,,,,,
1986-06-03,1.154746962,0.9510392145,319.57,0.8265195825,0.8263227921,,,,,
1986-06-04,1.161675444,0.9567454497,319.57,0.8263227921,0.8261260486,,,,,
1986-06-05,1.13960361,0.9500482316,319.57,0.8261260486,0.8259293519,,,,,
1986-06-06,1.162395683,0.9405477493,319.57,0.8259293519,0.825732702,,,,,
1986-06-09,1.163558078,0.9800507547,319.57,0.825732702,0.825536099,,,,,
1986-06-10,1.083272571,0.9643699427,319.57,0.825536099,0.8253395428,,,,,
1986-06-11,1.078939481,0.9518331334,319.57,0.8253395428,0.8251430334,,,,,
1986-06-12,1.099439331,0.948977634,319.57,0.8251430334,0.8249465707,,,,,
1986-06-13,1.103837088,0.9575184327,319.57,0.8249465707,0.8247501549,,,,,
1986-06-16,1.160132779,0.9718812092,319.57,0.8247501549,0.8245537858,,,,,
1986-06-17,1.163613178,1.011728339,319.57,0.8245537858,0.8243574635,,,,,
1986-06-18,1.138013688,1.011728339,319.57,0.8243574635,0.8241611879,,,,,
1986-06-19,1.145979784,1.002622784,319.57,0.8241611879,0.823964959,,,,,
1986-06-20,1.132228026,0.9845755736,319.57,0.823964959,0.8237687769,,,,,
1986-06-23,1.179781603,0.9993442072,319.57,0.8237687769,0.8235726415,,,,,
1986-06-24,1.145567937,1.016333059,319.57,0.8235726415,0.8233765528,,,,,
1986-06-25,1.171915999,1.027512722,319.57,0.8233765528,0.8231805107,,,,,
1986-06-26,1.198870067,1.032650286,319.57,0.8231805107,0.8229845154,,,,,
1986-06-27,1.195273457,1.035748237,319.57,0.8229845154,0.8227885667,,,,,
1986-06-30,1.208421465,1.047141467,339.48,0.9253120849,0.976377942,,,,,
1986-07-01,1.225339366,1.073320004,339.48,0.976377942,0.9761454711,,,,,
1986-07-02,1.242494117,1.073320004,339.48,0.9761454711,0.9759130555,,,,,
1986-07-03,1.25243407,1.073320004,339.48,0.9759130555,0.9756806952,,,,,
1986-07-07,1.238657295,1.094786404,339.48,0.9756806952,0.9754483903,,,,,
1986-07-08,1.123462167,1.090407259,339.48,0.9754483903,0.9752161407,,,,,
1986-07-09,1.088634839,1.057695041,339.48,0.9752161407,0.9749839464,,,,,
1986-07-10,1.106052997,1.069329686,339.48,0.9749839464,0.9747518073,,,,,
1986-07-11,1.10715905,1.081092313,339.48,0.9747518073,0.9745197236,,,,,
1986-07-14,1.097194618,1.081092313,339.48,0.9745197236,0.9742876951,,,,,
1986-07-15,1.040140498,1.083254497,339.48,0.9742876951,0.9740557218,,,,,
1986-07-16,0.9808524899,1.086504261,339.48,0.9740557218,0.9738238038,,,,,
1986-07-17,0.9975269822,1.111493859,339.48,0.9738238038,0.973591941,,,,,
1986-07-18,1.01149236,1.084818006,339.48,0.973591941,0.9733601333,,,,,
1986-07-21,1.014526837,1.081563552,339.48,0.9733601333,0.9731283809,,,,,
1986-07-22,1.012497783,1.08697137,339.48,0.9731283809,0.9728966837,,,,,
1986-07-23,1.03679773,1.067405885,339.48,0.9728966837,0.9726650416,,,,,
1986-07-24,1.044055314,1.035383709,339.48,0.9726650416,0.9724334547,,,,,
1986-07-25,1.032570706,1.019852953,339.48,0.9724334547,0.9722019229,,,,,
1986-07-28,1.062515256,1.013733836,339.48,0.9722019229,0.9719704463,,,,,
1986-07-29,1.006201948,0.9914316912,339.48,0.9719704463,0.9717390248,,,,,
1986-07-30,0.9880903127,0.9884573961,339.48,0.9717390248,0.9715076583,,,,,
1986-07-31,1.014768751,1.000318885,337.37,0.9594310638,0.9531614552,,,,,
1986-08-01,1.008680139,1.036330365,337.37,0.9531614552,0.9529345119,,,,,
1986-08-04,0.9925412564,1.036330365,337.37,0.9529345119,0.9527076228,,,,,
1986-08-05,1.006436834,1.041512017,337.37,0.9527076228,0.9524807876,,,,,
1986-08-06,1.02052695,1.029013872,337.37,0.9524807876,0.9522540065,,,,,
1986-08-07,1.017465369,1.016665706,337.37,0.9522540065,0.9520272793,,,,,
1986-08-08,1.02153523,1.025815697,337.37,0.9520272793,0.9518006062,,,,,
1986-08-11,1.01949216,1.064796694,337.37,0.9518006062,0.951573987,,,,,
1986-08-12,1.068427783,1.094611001,337.37,0.951573987,0.9513474218,,,,,
1986-08-13,1.104754328,1.091327168,337.37,0.9513474218,0.9511209105,,,,,
1986-08-14,1.135687449,1.10987973,337.37,0.9511209105,0.9508944531,,,,,
1986-08-15,1.142501574,1.113209369,337.37,0.9508944531,0.9506680497,,,,,
1986-08-18,1.155069091,1.116548997,337.37,0.9506680497,0.9504417001,,,,,
1986-08-19,1.158534299,1.118782095,337.37,0.9504417001,0.9502154045,,,,,
1986-08-20,1.146948956,1.137801391,337.37,0.9502154045,0.9499891627,,,,,
1986-08-21,1.191679965,1.15373061,337.37,0.9499891627,0.9497629748,,,,,
1986-08-22,1.190488285,1.15373061,337.37,0.9497629748,0.9495368408,,,,,
1986-08-25,1.196440726,1.146808227,337.37,0.9495368408,0.9493107606,,,,,
1986-08-26,1.162940386,1.13189972,337.37,0.9493107606,0.9490847342,,,,,
1986-08-27,1.232716809,1.135295419,337.37,0.9490847342,0.9488587617,,,,,
1986-08-28,1.24011311,1.131889533,337.37,0.9488587617,0.9486328429,,,,,
1986-08-29,1.232672431,1.151131655,352.93,1.036137523,1.079663999,,,,,
1986-09-02,1.233905104,1.178758814,352.93,1.079663999,1.079406936,,,,,
1986-09-03,1.168508133,1.16343495,352.93,1.079406936,1.079149934,,,,,
1986-09-04,1.18954128,1.106426637,352.93,1.079149934,1.078892994,,,,,
1986-09-05,1.244260179,1.106426637,352.93,1.078892994,1.078636114,,,,,
1986-09-08,1.194489771,1.073233838,352.93,1.078636114,1.078379296,,,,,
1986-09-09,1.161044058,1.059281798,352.93,1.078379296,1.078122539,,,,,
1986-09-10,1.155238838,1.062459644,352.93,1.078122539,1.077865844,,,,,
1986-09-11,1.145996927,1.062459644,352.93,1.077865844,1.077609209,,,,,
1986-09-12,0.9809733693,1.027398475,352.93,1.077609209,1.077352635,,,,,
1986-09-15,0.9250578873,1.008905303,352.93,1.077352635,1.077096123,,,,,
1986-09-16,0.9398588135,1.007896398,352.93,1.077096123,1.076839671,,,,,
1986-09-17,0.9379790959,1.007896398,352.93,1.076839671,1.076583281,,,,,
1986-09-18,0.9379790959,1.026038533,352.93,1.076583281,1.076326951,,,,,
1986-09-19,0.9445449495,1.016804186,352.93,1.076326951,1.076070683,,,,,
1986-09-22,0.9426558596,0.9771488227,352.93,1.076070683,1.075814476,,,,,
1986-09-23,0.9747061589,1.005486139,352.93,1.075814476,1.07555833,,,,,
1986-09-24,0.9834785143,0.9934203049,352.93,1.07555833,1.075302244,,,,,
1986-09-25,0.9933132994,1.017262392,352.93,1.075302244,1.07504622,,,,,
1986-09-26,0.9366944414,1.023365967,352.93,1.07504622,1.074790256,,,,,
1986-09-29,0.9404412191,1.023365967,352.93,1.074790256,1.074534354,,,,,
1986-09-30,0.9122279826,1.006992111,339.8,0.9945828845,0.9543513083,,,,,
1986-10-01,0.9295603142,1.043243827,339.8,0.9543513083,0.9541240818,,,,,
1986-10-02,0.9565175633,1.058892484,339.8,0.9541240818,0.9538969094,,,,,
1986-10-03,0.9603436336,1.055715807,339.8,0.9538969094,0.953669791,,,,,
1986-10-06,0.9565022591,1.076830123,339.8,0.953669791,0.9534427268,,,,,
1986-10-07,0.9698932907,1.075753293,339.8,0.9534427268,0.9532157166,,,,,
1986-10-08,0.9650438242,1.075753293,339.8,0.9532157166,0.9529887605,,,,,
1986-10-09,0.9930300951,1.069298773,339.8,0.9529887605,0.9527618584,,,,,
1986-10-10,0.981113734,1.053259292,339.8,0.9527618584,0.9525350104,,,,,
1986-10-13,0.9771892791,1.046939736,339.8,0.9525350104,0.9523082163,,,,,
1986-10-14,0.9810980362,1.045892796,339.8,0.9523082163,0.9520814763,,,,,
1986-10-15,0.9742303499,1.023929047,339.8,0.9520814763,0.9518547902,,,,,
1986-10-16,1.017096485,1.02085726,339.8,0.9518547902,0.9516281581,,,,,
1986-10-17,1.026250354,1.023919832,339.8,0.9516281581,0.95140158,,,,,
1986-10-20,1.01598785,1.014704554,339.8,0.95140158,0.9511750558,,,,,
